sample_id	biosample	sra_sample	experiment	run	platform	layout	read1_mean_length	read2_mean_length	spots	bases_M	size_mb	gc_percent	data_status	inclusion
LA005	SAMN19694648	SRS9205652	SRX11143886	SRR14811416	Illumina	PAIRED	245	245	42.3k	20.8	12.5	39.8	Public	Include
3269	SAMN19694634	SRS9205885	SRX11143872	SRR14811430	Illumina	PAIRED	NA	NA	414.8k	140.3	72.3	39.3	Public	Include
3274	SAMN19694639	SRS9205639	SRX11143873	SRR14811429	Illumina	PAIRED	244	244	525.6k	256.6	154.4	48.4	Public	Include
N005	SAMN19694635	SRS9205640	SRX11143874	SRR14811428	Illumina	PAIRED	235	237	448.1k	211.4	129.8	42	Public	Include
N011	SAMN19694640	SRS9205641	SRX11143875	SRR14811427	Illumina	PAIRED	247	247	193.8K	95.9	59.9	49.1	Public	Include
N060	SAMN19694646	SRS9205642	SRX11143876	SRR14811426	Illumina	PAIRED	243	243	30.5k	14.8	9.1	39.8	Public	Include
N199	SAMN19694633	SRS9205643	SRX11143877	SRR14811425	Illumina	PAIRED	235	241	301k	143.3	100.6	43.8	Public	Include
PO04	SAMN19696890	SRS9205644	SRX11143878	SRR14811424	Illumina	PAIRED	241	242	22.9k	11.1	7.1	46.7	Public	Include
3319	SAMN19694636	SRS9205645	SRX11143879	SRR14811423	Illumina	PAIRED	239	240	503.7k	241.6	140.4	38.9	Public	Include
3358	SAMN19696888	SRS9205646	SRX11143880	SRR14811422	Illumina	PAIRED	226	228	74.1k	33.6	19.4	40.5	Public	Include
3658	SAMN19694641	SRS9205647	SRX11143881	SRR14811421	Illumina	PAIRED	244	244	584.4k	285.2	174.3	49.8	Public	Include
3768	SAMN19696889	SRS9205648	SRX11143882	SRR14811420	Illumina	PAIRED	210	211	74.5k	31.3	18	41.5	Public	Include
3791	SAMN19694632	SRS9205649	SRX11143883	SRR14811419	Illumina	PAIRED	244	245	519.3k	253.7	153.3	48.5	Public	Include
4070	SAMN19694637	SRS9205650	SRX11143884	SRR14811418	Illumina	PAIRED	232	234	435.5k	203	119	49	Public	Include
4312	SAMN19694638	SRS9205651	SRX11143885	SRR14811417	Illumina	PAIRED	241	242	493.7k	238	144.1	49	Public	Include
