sample	mapped_reads	mapping_percent	coverage_percent	mean_depth	filtered_variants	consensus_length
3269	690	0.17	97.3287	11.7423	20	3182
3274	977382	96.78	100	61364.9	248	3188
3319	35652	3.60	98.4287	1010.93	7	3182
3358	810	0.56	98.1772	33.5091	223	3188
3658	1088614	98.06	100	64718.6	259	3188
3768	566	0.38	94.3432	12.2973	45	3188
3791	916650	91.93	99.6543	57140.9	261	3182
4070	814322	96.57	99.4657	50959	277	3182
4312	923858	97.55	99.3086	58682.3	252	3182
LA005	253	0.31	100	14.6034	98	3188
N005	96991	11.15	98.2087	5597.69	258	3188
N011	365313	99.48	100	26853.2	114	3182
N060	1211	2.03	93.9975	71.9582	235	3188
N199	41352	7.14	98.3658	415.116	0	3182
PO04	13020	30.29	98.1772	866.239	193	3182
