sample_id	identified_as_hbv	rightward_rotation	genotype	subgenotype	closest_reference	pre_c_cov	core_cov	pol_cov	rt_cov	pre_s1_cov	pre_s2_cov	s_cov	x_cov
3269	Yes	3181	D	D3	FJ692507	99.07	98.92	98.42	100.00	97.17	99.88	100.00	100.00
3274	Yes	-	A	Unknown	KP168423	100.00	100.00	98.62	100.00	97.17	99.76	100.00	100.00
3319	Yes	3181	D	D3	FJ692507	99.07	98.92	98.42	100.00	97.17	99.88	100.00	100.00
3358	Yes	-	A	Unknown	KP168423	100.00	100.00	98.62	100.00	97.42	99.76	100.00	100.00
3658	Yes	-	A	Unknown	KP168423	100.00	100.00	98.62	100.00	97.17	99.76	100.00	100.00
3768	Yes	-	D	D3	FJ692507	99.07	98.92	98.38	100.00	97.09	99.76	100.00	100.00
3791	Yes	-	A	A1 (1)	KP168423	99.07	98.92	98.38	100.00	97.42	99.76	100.00	100.00
4070	Yes	-	A	A1 (2)	FJ692557	99.07	98.92	98.38	100.00	97.17	99.76	100.00	100.00
4312	Yes	-	A	A1 (2)	FJ692557	99.07	98.92	98.38	100.00	97.17	99.76	100.00	100.00
LA005	Yes	-	D	Unknown	FJ692507	99.07	98.92	98.38	100.00	97.09	99.76	100.00	100.00
N005	Yes	-	A	Unknown	KP168423	100.00	100.00	98.62	100.00	97.17	99.76	100.00	100.00
N011	Yes	3181	D	D4	FJ692533	99.07	98.92	98.42	100.00	97.17	99.88	100.00	100.00
N060	Yes	-	A	Unknown	KP168423	100.00	100.00	98.62	100.00	97.17	99.76	100.00	100.00
N199	Yes	3181	D	D3	FJ692507	99.07	98.92	98.42	100.00	97.17	99.88	100.00	100.00
PO04	Yes	-	E	N/A	GQ161817	99.07	98.92	98.38	100.00	97.09	99.76	100.00	100.00
